brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
TOYOTA,INNOVA,2.0V,2016,MPV,Xăng,Tự động,0.14,7,RWD,390000000,120000,Nhập khẩu,,Hà Nội,14-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/131882820.htm
TOYOTA,VIOS,,2022,Sedan,Xăng,Tự động,,5,,399000000,60896,Trong nước,,Hà Nội,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/132897290.htm
FORD,FOCUS,,2018,Hatchback,Xăng,Tự động,,5,,359000000,78000,Trong nước,,Tp Hồ Chí Minh,10-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-thanh-tp-ho-chi-minh/132837440.htm
NISSAN,X TRAIL,2.0 2WD Premium,2016,SUV,Xăng,Tự động,0.14,7,FWD,415000000,91000,Trong nước,,Hà Nội,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-thanh-xuan-ha-noi/132481185.htm
MERCEDES BENZ,GLC,300 4MATIC,2020,SUV,Xăng,Tự động,,5,,1379000000,39000,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/130663984.htm
MERCEDES BENZ,VITO,Tourer 121,2016,Van/Minibus,Xăng,Tự động,0.21,8,RWD,699000000,101000,Nhập khẩu,,Tp Hồ Chí Minh,04-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-thanh-tp-ho-chi-minh/132734984.htm
TOYOTA,ALPHARD,,2015,MPV,Xăng,Tự động,,4,,1999000000,48000,Nhập khẩu,,Tp Hồ Chí Minh,15-03-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/131263125.htm
FORD,TERRITORY,,2026,SUV,Xăng,Tự động,,5,,875000000,,Trong nước,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-1-tp-ho-chi-minh/132897251.htm
HYUNDAI,CRETA,,2025,SUV,Xăng,Tự động,,5,,129000000,,Nhập khẩu,,Tp Hồ Chí Minh,14-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/131878047.htm
MITSUBISHI,XPANDER,Cross,2021,MPV,Xăng,Tự động,,7,,455000000,120000,Nhập khẩu,,Đà Nẵng,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-cam-le-da-nang/132413218.htm
TOYOTA,RAIZE,,2025,,Xăng,Tự động,,5,,490000000,,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/101941615.htm
TOYOTA,HILUX,2.4E 4x2 AT,2017,Bán tải,Dầu,Tự động,,5,,470000000,80000,Nhập khẩu,,Đà Nẵng,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-ngu-hanh-son-da-nang/132389640.htm
