"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url","price_raw","price_scale","age","age_group","is_high_price","is_high_mileage"
"TOYOTA","FORTUNER","G 4X2",2021,"SUV","Dầu","Automatic","2.4","7","RFD - Dẫn động cầu sau",8.85e+08,74000,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-at-2021-6818678",8.85e+08,"Original scale",5,"4-7 nam",FALSE,FALSE
"HYUNDAI","TUCSON","ATH",2016,"Crossover","Xăng","Automatic","2","5","FWD - Dẫn động cầu trước",4.99e+08,1e+05,"Nhập khẩu","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-hyundai-tucson-2.0-ath-2016-6828177",4.99e+08,"Original scale",10,"8-12 nam",FALSE,TRUE
"KIA","SELTOS","LUXURY",2022,"Crossover","Xăng","Automatic","1.4","5","FWD - Dẫn động cầu trước",5.9e+08,55000,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-kia-seltos-luxury-1.4-at-2022-6730566",5.9e+08,"Original scale",4,"4-7 nam",FALSE,FALSE
"MAZDA","CX3","LUXURY",2024,"Crossover","Xăng","Automatic","1.5","5","FWD - Dẫn động cầu trước",5e+08,15000,"Nhập khẩu","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mazda-cx3-luxury-1.5-at-2024-6808835",5e+08,"Original scale",2,"0-3 nam",FALSE,FALSE
"MERCEDES BENZ","GLC","300 4MATIC",2018,"SUV","Xăng","Automatic","2","5","AWD - 4 bánh toàn thời gian",9.5e+08,72000,"Lắp ráp trong nước","Đen","TP HCM","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2018-6830252",9.5e+08,"Original scale",8,"8-12 nam",FALSE,FALSE
"MITSUBISHI","TRITON","GLX 2WD",2024,"Bán tải / Pickup","Dầu","Automatic","2.4","5","RFD - Dẫn động cầu sau",5.7e+08,29000,"Nhập khẩu","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mitsubishi-triton-glx-2wd-at-2024-6803653",5.7e+08,"Original scale",2,"0-3 nam",FALSE,FALSE
"HYUNDAI","SANTAFE","ĐẶC BIỆT HTRAC",2022,"SUV","Dầu","Automatic","2.2","7","AWD - 4 bánh toàn thời gian",1.138e+09,37000,"Lắp ráp trong nước","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-hyundai-santafe-dac-biet-2.2l-htrac-2022-6776274",1.138e+09,"Original scale",4,"4-7 nam",FALSE,FALSE
"KIA","CERATO","LUXURY",2021,"Sedan","Xăng","Automatic","1.6","5","FWD - Dẫn động cầu trước",4.79e+08,50000,"Lắp ráp trong nước","Xanh","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-kia-cerato-1.6-at-luxury-2021-6506206",4.79e+08,"Original scale",5,"4-7 nam",FALSE,FALSE
"HONDA","CRV","L",2021,"SUV","Xăng","Automatic","1.5","7","FWD - Dẫn động cầu trước",8.08e+08,78000,"Lắp ráp trong nước","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-honda-crv-l-2021-6791591",8.08e+08,"Original scale",5,"4-7 nam",FALSE,FALSE
"FORD","EVEREST","TITANIUM 4X2",2025,"SUV","Dầu","Automatic","2","7","RFD - Dẫn động cầu sau",1.31e+09,22000,"Nhập khẩu","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2025-6781065",1.31e+09,"Original scale",1,"0-3 nam",FALSE,FALSE
"VOLVO","S90","INSCRIPTION T6 AWD",2021,"Sedan","Xăng","Automatic","2","5","AWD - 4 bánh toàn thời gian",1.18e+09,90000,"Nhập khẩu","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-volvo-s90-inscription-t6-awd-2021-6683454",1.18e+09,"Original scale",5,"4-7 nam",FALSE,TRUE
